ModelFile;PositionX;PositionY;PositionZ;RotationX;RotationY;RotationZ;RotationW;ScaleFactor;ModelId;Type;FileDataID;DoodadSetIndexes;DoodadSetNames
..\..\world\expansion02\doodads\scholazar\trees\sholazarhugecanopy_tree03.obj;12743.373046875;-88.49452209472656;11889.146484375;1.7095340490341187;331.6130065917969;-1.7095342874526978;;0.7724609375;23097612;m2;196342;0;
..\..\world\expansion02\doodads\scholazar\trees\sholazarhugecanopy_tree03.obj;12847.15625;-90.09278106689453;11810.5185546875;0;342.47052001953125;0;;0.83984375;23086397;m2;196342;0;
..\..\world\expansion02\doodads\scholazar\trees\sholazarhugecanopy_tree_scourge_01.obj;12706.7060546875;-136.3134307861328;11510.787109375;0;307.5000305175781;3.4090988636016846;;1.498046875;23096613;m2;196343;0;
..\..\world\expansion02\doodads\scholazar\trees\sholazarhugecanopy_tree02.obj;12370.43359375;-121.2239990234375;11386.9638671875;0;81.05712890625;0;;0.625;23099156;m2;196341;0;
..\..\world\expansion02\doodads\scholazar\trees\sholazarhugecanopy_tree_scourge_01.obj;12723.2998046875;-135.2167510986328;11386.1796875;0;173.5;-6.79425048828125;;1.388671875;23096612;m2;196343;0;
..\..\world\expansion02\doodads\generic\waterfalls\waterfalls_set1_med_ripples.obj;12827.8291015625;-113.23224639892578;11285.328125;0;234.31912231445312;0;;1.3955078125;23097979;m2;195682;0;
..\..\world\expansion02\doodads\scholazar\trees\sholazarhugecanopy_tree_scourge_01.obj;12819.494140625;-101.6132583618164;11368.94140625;3.409099817276001;287;6.794249057769775;;1;23089248;m2;196343;0;
..\..\world\expansion02\doodads\scholazar\trees\sholazarhugecanopy_tree01.obj;12466.640625;-129.45608520507812;11532.294921875;0.9712780117988586;206.29339599609375;4.190040111541748;;0.9423828125;23084894;m2;196340;0;
..\..\world\expansion02\doodads\scholazar\trees\sholazarhugecanopy_tree01.obj;12533.3603515625;-129.18458557128906;11234.37109375;0.9712780714035034;26.29339599609375;4.19003963470459;;0.9423828125;23085883;m2;196340;0;
..\..\world\expansion02\doodads\scholazar\trees\sholazar_branch_medium01.obj;12362.3046875;-104.77117156982422;11374.1650390625;-7.49468994140625;307.2666015625;16.775344848632812;;0.9853515625;23094749;m2;196315;0;
..\..\world\generic\passivedoodads\particleemitters\ashenvalewisps.obj;12489.107421875;-135.79173278808594;11405.5400390625;0;128.83163452148438;0;;2.9453125;23099311;m2;199904;0;
..\..\world\expansion02\doodads\scholazar\waterfalls\sholazarsouthoceanwaterfall-05.obj;12378.984375;-205.0098114013672;11621.419921875;0;359;0;;1;23092228;m2;196374;0;
..\..\world\expansion02\doodads\scholazar\trees\sholazar_branch_large01.obj;12529.0029296875;-122.13922882080078;11436.0478515625;-3.1969339847564697;306.123779296875;-48.00309753417969;;0.6640625;23092719;m2;196314;0;
..\..\world\expansion02\doodads\scholazar\waterfalls\sholazar_northoceanwaterfall_center01.obj;12286.2265625;-199.42599487304688;11510.3212890625;0;2.000030517578125;0;;1;23089033;m2;196369;0;
..\..\world\expansion02\doodads\scholazar\trees\sholazar_branch_medium01.obj;12396.865234375;-109.36705017089844;11242.16796875;-4.67808723449707;285.4097900390625;-20.355989456176758;;0.9228515625;23094746;m2;196315;0;
..\..\world\expansion02\doodads\scholazar\trees\sholazarpalm_tree01.obj;12679.6259765625;-136.22825622558594;11686.4560546875;-4.019012928009033;5.17230224609375;-3.8275301456451416;;1.513671875;23088990;m2;196359;0;
..\..\world\expansion02\doodads\scholazar\trees\sholazar_branch_large01.obj;12270.6337890625;-132.888671875;11217.314453125;-2.0852766036987305;231.647705078125;-69.85317993164062;;0.6728515625;23092716;m2;196314;0;
..\..\world\expansion02\doodads\scholazar\trees\sholazarpalm_tree01.obj;12735.53515625;-85.1396255493164;11227.4765625;20.11322593688965;140.3037109375;-4.266988277435303;;1.2099609375;23088983;m2;196359;0;
..\..\world\expansion02\doodads\generic\waterfalls\waterfalls_set1_med_ripples.obj;12685.29296875;-145.2834014892578;11295.560546875;0;315.09979248046875;0;;1.0654296875;23099244;m2;195682;0;
..\..\world\expansion02\doodads\scholazar\trees\sholazar_branch_medium01.obj;12507.2509765625;-129.07899475097656;11455.640625;-5.6357831954956055;52.89093017578125;-30.287578582763672;;0.779296875;23093562;m2;196315;0;
..\..\world\generic\passivedoodads\particleemitters\ashenvalewisps.obj;12488.31640625;-133.99258422851562;11409.291015625;0;81.61090087890625;0;;2.9423828125;23099310;m2;199904;0;
..\..\world\expansion02\doodads\scholazar\trees\sholazarpalm_tree03.obj;12820.369140625;-91.4488296508789;11793.486328125;-0.8564575910568237;145.48199462890625;-13.82180404663086;;1;23086081;m2;196362;0;
