ModelFile;PositionX;PositionY;PositionZ;RotationW;RotationX;RotationY;RotationZ;ScaleFactor;DoodadSet;FileDataID
..\..\..\..\..\generic\tauren\passivedoodads\dreamcatchers\dreamcatcher03.obj;10.507798194885254;1.697458267211914;15.069278717041016;1;0;0;0;1;Set_$DefaultGlobal;200399
..\..\..\..\..\generic\tauren\passivedoodads\dreamcatchers\dreamcatcher03.obj;10.538758277893066;-2.083646535873413;15.06503963470459;-0.0871557667851448;0;0;-0.9961947202682495;1;Set_$DefaultGlobal;200399
..\..\..\..\..\generic\tauren\passivedoodads\baskets\largebasket02.obj;12.544261932373047;8.031087875366211;8.19432544708252;1;0;0;0;1;Set_$DefaultGlobal;200373
..\..\..\..\..\generic\tauren\passivedoodads\baskets\largebasket03.obj;12.086403846740723;-9.640047073364258;8.19432544708252;1;0;0;0;1;Set_$DefaultGlobal;200374
..\..\..\..\..\generic\tauren\passivedoodads\baskets\largebasket01.obj;-12.485568046569824;-7.853414058685303;8.32353687286377;1;0;0;0;1;Set_$DefaultGlobal;200372
..\..\..\..\..\generic\tauren\passivedoodads\baskets\largebasket02.obj;2.329700231552124;-16.221683502197266;8.19432544708252;1;0;0;0;1;Set_$DefaultGlobal;200373
..\..\..\..\..\generic\tauren\passivedoodads\baskets\smallbasket02.obj;11.726787567138672;10.602120399475098;8.205730438232422;1;0;0;0;1;Set_$DefaultGlobal;200376
..\..\..\..\..\generic\tauren\passivedoodads\baskets\smallbasket03.obj;-14.75707721710205;10.416043281555176;8.193906784057617;1;0;0;0;1;Set_$DefaultGlobal;200377
..\..\..\..\..\generic\tauren\passivedoodads\baskets\smallbasket01.obj;-15.475470542907715;9.139812469482422;8.28368854522705;1;0;0;0;1;Set_$DefaultGlobal;200375
..\..\..\..\..\generic\tauren\passivedoodads\baskets\smallbasket01.obj;10.628275871276855;9.109790802001953;8.28368854522705;1;0;0;0;1;Set_$DefaultGlobal;200375
..\..\..\..\..\generic\tauren\passivedoodads\taurenrugs\taurenrug04.obj;-11.4426908493042;-0.0813208669424057;8.15584945678711;0.7071067690849304;0;0;0.7071067690849304;2.1499998569488525;Set_$DefaultGlobal;200539
..\..\..\..\..\generic\tauren\passivedoodads\taurenrugs\taurenrug01.obj;3.7262802124023438;-10.686081886291504;8.188812255859375;0.9537169337272644;0;0;0.30070585012435913;2.1500000953674316;Set_$DefaultGlobal;200536
..\..\..\..\..\generic\tauren\passivedoodads\taurenrugs\taurenrug01.obj;3.6262428760528564;8.956197738647461;8.175984382629395;0.9659258127212524;0;0;-0.2588190734386444;2.1499998569488525;Set_$DefaultGlobal;200536
..\..\..\..\..\generic\tauren\passivedoodads\taurenwallhangings\taurenwallhanging02.obj;8.672661781311035;12.773062705993652;11.871073722839355;0.46174871921539307;0;0;-0.8870107531547546;1.503100037574768;Set_$DefaultGlobal;200548
..\..\..\..\..\generic\tauren\passivedoodads\taurenwallhangings\taurenwallhanging02.obj;-15.46394157409668;-0.06307108700275421;11.849492073059082;0.9990482330322266;0;0;0.04361937195062637;1.503100037574768;Set_$DefaultGlobal;200548
..\..\..\..\..\generic\tauren\passivedoodads\warharnasses\warharnessfloor03.obj;2.4088408946990967;15.62238597869873;8.213056564331055;0.8290375471115112;0;0;-0.5591928958892822;1;Set_$DefaultGlobal;200590
..\..\..\..\..\generic\tauren\passivedoodads\warharnasses\warharnessfloor01.obj;-15.309760093688965;-3.272838592529297;8.236977577209473;0.09150166809558868;0;0;-0.9958049058914185;1;Set_$DefaultGlobal;200588
..\..\..\..\..\generic\tauren\passivedoodads\warharnasses\warharnesstotem02.obj;8.916399002075195;-13.411508560180664;8.098515510559082;0.5484845042228699;0.06259508430957794;-0.0630708858370781;0.831425666809082;1;Set_$DefaultGlobal;200593
..\..\..\..\..\generic\tauren\passivedoodads\taurenwallhangings\taurenwallhanging02.obj;5.217932224273682;-14.41549015045166;11.061224937438965;0.56947922706604;0;0;0.8220057487487793;1.5030999183654785;Set_$DefaultGlobal;200548
..\..\..\..\..\generic\passivedoodads\lights\generaltorch01.obj;29.33152961730957;14.466251373291016;5.621706485748291;0.9778709411621094;-0.06342180073261261;-0.08474606275558472;-0.18045568466186523;1.9095818996429443;Set_$DefaultGlobal;199820
..\..\..\..\..\generic\passivedoodads\lights\generaltorch01.obj;28.98948860168457;14.258039474487305;5.650176048278809;0.9172173142433167;-0.1354435533285141;0.06279069185256958;-0.3693571984767914;1.9095818996429443;Set_$DefaultGlobal;199820
..\..\..\..\..\generic\passivedoodads\lights\generaltorch01.obj;29.47040557861328;-13.768315315246582;6.009858131408691;0.8143985867500305;0.017088262364268303;0.14935767650604248;-0.5604954957962036;1.9095818996429443;Set_$DefaultGlobal;199820
..\..\..\..\..\generic\passivedoodads\lights\generaltorch01.obj;29.87066078186035;-13.7377290725708;6.0148491859436035;0.9070298671722412;0.06123257800936699;-0.03668130189180374;-0.41497212648391724;1.9095820188522339;Set_$DefaultGlobal;199820
..\..\..\..\..\generic\tauren\passivedoodads\taurenwallscrolls\taurenwallscroll02.obj;0.1737094521522522;-11.260411262512207;11.891066551208496;0.7071067690849304;0;0;0.7071067690849304;1.8901000022888184;Set_$DefaultGlobal;200553
..\..\..\..\..\generic\tauren\passivedoodads\taurenwallscrolls\taurenwallscroll02.obj;14.615323066711426;-4.545200824737549;10.279925346374512;-0.21643951535224915;0;0;-0.9762960076332092;1.890100121498108;Set_$DefaultGlobal;200553
..\..\..\..\..\generic\tauren\passivedoodads\taurenwallscrolls\taurenwallscroll02.obj;14.79893970489502;3.851332902908325;10.299042701721191;0.30070599913597107;0;0;-0.9537168741226196;1.8901000022888184;Set_$DefaultGlobal;200553
..\..\..\..\..\generic\tauren\passivedoodads\taurenwallscrolls\taurenwallscroll02.obj;-0.0077989366836845875;10.50899887084961;11.891066551208496;0.7071067690849304;0;0;-0.7071067690849304;1.8901000022888184;Set_$DefaultGlobal;200553
