ModelFile;PositionX;PositionY;PositionZ;RotationW;RotationX;RotationY;RotationZ;ScaleFactor;DoodadSet;FileDataID
..\..\..\generic\darkirondwarf\passivedoodads\tapestries\darkirontapestry01.obj;-285.08270263671875;-29.22416877746582;-34.518524169921875;0.7071069478988647;-1.590716358634836e-8;-1.581019759555602e-8;0.7071065902709961;3.4271233081817627;Set_$DefaultGlobal;197206
..\..\..\generic\darkirondwarf\passivedoodads\tapestries\darkirontapestry01.obj;-239.6915740966797;-29.22416114807129;-34.518524169921875;0.7071069478988647;-1.590716358634836e-8;-1.581019759555602e-8;0.7071065902709961;3.4271233081817627;Set_$DefaultGlobal;197206
..\..\..\generic\darkirondwarf\passivedoodads\tapestries\darkirontapestry01.obj;-285.4112243652344;27.532424926757812;-34.518524169921875;0.7071065306663513;-1.5690131860424117e-8;1.5747884773986698e-8;-0.7071070075035095;3.4271233081817627;Set_$DefaultGlobal;197206
..\..\..\generic\darkirondwarf\passivedoodads\tapestries\darkirontapestry01.obj;-240.02008056640625;27.532424926757812;-34.518524169921875;0.7071065306663513;-1.5690131860424117e-8;1.5747884773986698e-8;-0.7071070075035095;3.4271233081817627;Set_$DefaultGlobal;197206
..\..\..\expansion02\doodads\ulduar\ul_brazier01.obj;25.26337432861328;-30.951372146606445;7.26941442489624;0.4999999701976776;0;0;-0.866025447845459;2.83625864982605;Set_$DefaultGlobal;196475
..\..\..\expansion02\doodads\ulduar\ul_torch01.obj;-7.971823692321777;-36.0578498840332;25.027095794677734;0.7071067690849304;0;0;0.7071067690849304;2.1522281169891357;Set_$DefaultGlobal;196570
..\..\..\expansion02\doodads\ulduar\ul_orb_01.obj;-6.1320953369140625;0.00732379499822855;40.74724197387695;1;0;0;-2.384185791015625e-7;3.779683828353882;Set_$DefaultGlobal;196525
..\..\..\expansion02\doodads\ulduar\ul_pot02.obj;15.357559204101562;-34.386722564697266;7.483839511871338;0.17364853620529175;0;0;-0.9848076701164246;2.3351500034332275;Set_$DefaultGlobal;196544
..\..\..\expansion02\doodads\ulduar\ul_pot03.obj;20.020334243774414;-35.120079040527344;7.491312503814697;-0.08715580403804779;0;0;-0.9961947202682495;1.9840655326843262;Set_$DefaultGlobal;196545
..\..\..\expansion02\doodads\ulduar\ul_brazier01.obj;25.26337432861328;28.452308654785156;7.26941442489624;0.4999999701976776;0;0;-0.866025447845459;2.83625864982605;Set_$DefaultGlobal;196475
..\..\..\expansion02\doodads\ulduar\ul_brazier01.obj;-41.53753662109375;28.452308654785156;7.26941442489624;0.4999999701976776;0;0;-0.866025447845459;2.83625864982605;Set_$DefaultGlobal;196475
..\..\..\expansion02\doodads\ulduar\ul_brazier01.obj;-41.53753662109375;-30.951372146606445;7.26941442489624;0.4999999701976776;0;0;-0.866025447845459;2.83625864982605;Set_$DefaultGlobal;196475
..\..\..\expansion02\doodads\ulduar\ul_pot02.obj;17.485443115234375;-31.283939361572266;7.483839511871338;0.17364853620529175;0;0;-0.9848076701164246;1.5535558462142944;Set_$DefaultGlobal;196544
..\..\..\expansion02\doodads\ulduar\ul_torch01.obj;-28.236310958862305;-36.0578498840332;25.027095794677734;0.7071067690849304;0;0;0.7071067690849304;2.1522281169891357;Set_$DefaultGlobal;196570
..\..\..\expansion02\doodads\ulduar\ul_torch01.obj;11.38715934753418;-36.0578498840332;25.027095794677734;0.7071067690849304;0;0;0.7071067690849304;2.1522281169891357;Set_$DefaultGlobal;196570
..\..\..\expansion02\doodads\ulduar\ul_torch01.obj;-8.604707717895508;33.2519416809082;25.027095794677734;0.7071068286895752;0;0;-0.7071067094802856;2.1522281169891357;Set_$DefaultGlobal;196570
..\..\..\expansion02\doodads\ulduar\ul_torch01.obj;-27.963693618774414;33.25193786621094;25.027095794677734;0.7071068286895752;0;0;-0.7071067094802856;2.1522281169891357;Set_$DefaultGlobal;196570
..\..\..\expansion02\doodads\ulduar\ul_torch01.obj;11.65977954864502;33.2519416809082;25.027095794677734;0.7071068286895752;0;0;-0.7071067094802856;2.1522281169891357;Set_$DefaultGlobal;196570
